title,location,last_modified,price,seller_info,details,description,item_url
Woom 3 16 Zoll blaues Fahrrad,"Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,06.07.2024, 15:05 Uhr",€ 299,,"Blau,Gebraucht,Selbstabholung",Verkaufen unser blaues woom 3 Fahrrad,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-16-zoll-blaues-fahrrad-1669650514/
Woom 3 grün,4040 Linz,"Zuletzt geändert:,06.07.2024, 15:06 Uhr",€ 330,Privatperson,"Felgenbremse,40 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gruen-1725097017/
Woom Bike Größe 4 Gelb,2301 Groß-Enzersdorf,"Zuletzt geändert:,06.07.2024, 15:30 Uhr",€ 380,Privatperson,"Orange,Gebraucht,Selbstabholung, Versand",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-bike-groesse-4-gelb-2093482738/
"Woom 2 skyblue wie neu, mit staender, handschuh","1190 Wien, 19. Bezirk, Döbling","Zuletzt geändert:,06.07.2024, 15:03 Uhr",€ 320,Privatperson,"Blau,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-skyblue-wie-neu-mit-staender-handschuh-1462062751/
Woom 3 Kinderfahrrad neuwertig zu verkaufen,"Linz Land, Oberösterreich","Zuletzt geändert:,06.07.2024, 14:50 Uhr",€ 380,,"Tretlagerschaltung,Felgenbremse,Gelb,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-neuwertig-zu-verkaufen-1616070928/
Woom 2,Oberösterreich,"Zuletzt geändert:,06.07.2024, 14:47 Uhr",€ 280,,"Grün,Gebraucht,Selbstabholung",Woom 2 in gutem Zustand mit kleinen Schönheitsfehlern am Sattel (siehe Fotos),https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1861434379/
"WOOM 6 ""ANNIVERSARY RED EDITION """,2482 Münchendorf,"Zuletzt geändert:,06.07.2024, 13:40 Uhr",€ 570,Privatperson,"Kettenschaltung,Felgenbremse,48 cm,26 Zoll,Rot,Neuwertig,Selbstabholung",Absolut neuwertiger Zustand!,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-anniversary-red-edition-1136255359/
Woom 3,7022 Schattendorf,"Zuletzt geändert:,06.07.2024, 13:43 Uhr",€ 350,Privatperson,"Kettenschaltung,Grün,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1505111987/
Woom4 inkl. FollowMe Tandemkupplung,"Graz, Steiermark","Zuletzt geändert:,06.07.2024, 14:42 Uhr",€ 750,,"Felgenbremse,20 Zoll,Rot,Gebraucht,Selbstabholung","Woom4, 20""",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom4-inkl-followme-tandemkupplung-919112280/
Woom 2 blau,Steiermark,"Zuletzt geändert:,06.07.2024, 13:36 Uhr",€ 260,,"Blau,Gebraucht,Selbstabholung",Verkaufe woom 2 in blau,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-blau-2049372163/
"Woom 2, rot, inkl. Seitenständer (Erstbesitz)",6850 Dornbirn,"Zuletzt geändert:,06.07.2024, 13:25 Uhr",€ 350,Privatperson,"Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-inkl-seitenstaender-erstbesitz-1414733475/
Woom 2,"Spittal an der Drau, Kärnten","Zuletzt geändert:,06.07.2024, 13:25 Uhr",€ 320,,"Gelb,Neuwertig,Selbstabholung, Versand",Wenig gefahren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1087547124/
WOOM 3 Erstbesitz / schöner Zustand,"1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,06.07.2024, 13:14 Uhr",€ 290,Privatperson,"Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Aus Erstbesitz, wenig gefahren.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-erstbesitz-schoener-zustand-1285346405/
